2,0.09826,1,1
2,0.06232,1,2
2,0.071101,2,3
2,0.031971,1,4
2.0202,0.074168,1,1
2.0202,0.055157,1,2
2.0202,0.058387,2,3
2.0202,0.031729,1,4
2.0404,0.070323,1,1
2.0404,0.032438,1,2
2.0404,0.044689,2,3
2.0404,0.027926,1,4
2.0606,0.083448,1,1
2.0606,0.051607,1,2
2.0606,0.080187,2,3
2.0606,0.025061,1,4
2.0808,0.067377,1,1
2.0808,0.032379,1,2
2.0808,0.047528,2,3
2.0808,0.024347,1,4
2.101,0.078995,1,1
2.101,0.026624,1,2
2.101,0.040506,2,3
2.101,0.025697,1,4
2.1212,0.068797,1,1
2.1212,0.028472,1,2
2.1212,0.038262,2,3
2.1212,0.030594,1,4
2.1414,0.074756,1,1
2.1414,0.029941,1,2
2.1414,0.040368,2,3
2.1414,0.02329,1,4
2.1616,0.086496,1,1
2.1616,0.025415,1,2
2.1616,0.04212,2,3
2.1616,0.026102,1,4
2.1818,0.069113,1,1
2.1818,0.026963,1,2
2.1818,0.042909,2,3
2.1818,0.02961,1,4
2.202,0.073239,1,1
2.202,0.025853,1,2
2.202,0.038115,2,3
2.202,0.02409,1,4
2.2222,0.069561,1,1
2.2222,0.027324,1,2
2.2222,0.047975,2,3
2.2222,0.026621,1,4
2.2424,0.069887,1,1
2.2424,0.026291,1,2
2.2424,0.041302,2,3
2.2424,0.026939,1,4
2.2626,0.067413,1,1
2.2626,0.026111,1,2
2.2626,0.042305,2,3
2.2626,0.025657,1,4
2.2828,0.092472,1,1
2.2828,0.025218,1,2
2.2828,0.0417,2,3
2.2828,0.023732,1,4
2.303,0.071757,1,1
2.303,0.036993,1,2
2.303,0.056088,2,3
2.303,0.034403,1,4
2.3232,0.092093,1,1
2.3232,0.028796,1,2
2.3232,0.052876,2,3
2.3232,0.033965,1,4
2.3434,0.087981,1,1
2.3434,0.030895,1,2
2.3434,0.054756,2,3
2.3434,0.031585,1,4
2.3636,0.097707,1,1
2.3636,0.040753,1,2
2.3636,0.076882,2,3
2.3636,0.031844,1,4
2.3838,0.088019,1,1
2.3838,0.029757,1,2
2.3838,0.042771,2,3
2.3838,0.028482,1,4
2.404,0.080128,1,1
2.404,0.025567,1,2
2.404,0.043294,2,3
2.404,0.024238,1,4
2.4242,0.072314,1,1
2.4242,0.02352,1,2
2.4242,0.042341,2,3
2.4242,0.023554,1,4
2.4444,0.084024,1,1
2.4444,0.023847,1,2
2.4444,0.04297,2,3
2.4444,0.0252,1,4
2.4646,0.065277,1,1
2.4646,0.024773,1,2
2.4646,0.041424,2,3
2.4646,0.036241,1,4
2.4848,0.074068,1,1
2.4848,0.024185,1,2
2.4848,0.039735,2,3
2.4848,0.022202,1,4
2.5051,0.074525,1,1
2.5051,0.02516,1,2
2.5051,0.043999,2,3
2.5051,0.02308,1,4
2.5253,0.073797,1,1
2.5253,0.025255,1,2
2.5253,0.042029,2,3
2.5253,0.026501,1,4
2.5455,0.074223,1,1
2.5455,0.024666,1,2
2.5455,0.043094,2,3
2.5455,0.022623,1,4
2.5657,0.071334,1,1
2.5657,0.025376,1,2
2.5657,0.044385,2,3
2.5657,0.027436,1,4
2.5859,0.080293,1,1
2.5859,0.020552,1,2
2.5859,0.046968,2,3
2.5859,0.032797,1,4
2.6061,0.083908,1,1
2.6061,0.027672,1,2
2.6061,0.05555,2,3
2.6061,0.031972,1,4
2.6263,0.097766,1,1
2.6263,0.033908,1,2
2.6263,0.069523,2,3
2.6263,0.03522,1,4
