Method,100,1000,10000
,0.00046624,2.54E-06,6.28E-07
,0.00010818,8.80E-07,1.12E-09
Newton-Coates(Indicator),0.00012828,1.11E-07,1.50E-10
Newton-Coates(Pythagorean),3.72E-05,3.74E-08,3.74E-11
,0.013136,0.0017258,0.00017523
,0.0064925,0.0008277,7.78E-05
